#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Rare,X,Y
47,Parasect,Insecte,Plante,405,60,95,80,60,80,30,1,False,30,3080,4400
1,Bulbizarre,Plante,Poison,318,45,49,49,65,65,45,1,False,70,2860,2420
62,Tartard,Eau,Combat,510,90,95,95,70,90,70,1,False,55,3410,2750
54,Psykokwak,Eau,,320,50,52,48,65,50,55,1,False,50,4180,1100
1,Bulbizarre,Plante,Poison,318,45,49,49,65,65,45,1,False,70,770,3520
110,Smogogo,Poison,,490,65,90,120,85,70,60,1,False,30,550,1430
95,Onix,Roche,Sol,385,35,45,160,30,45,70,1,False,40,4510,2970
5,Reptincel,Feu,,405,58,64,58,80,65,80,1,False,50,2530,4070
13,Aspicot,Insecte,Poison,195,40,35,30,20,20,50,1,False,100,3300,2200
44,Ortide,Plante,Poison,395,60,65,70,85,75,40,1,False,90,2310,1980
74,Racaillou,Roche,Sol,300,40,80,100,30,30,20,1,False,70,2310,3740
131,Lokhlass,Eau,Glace,535,130,85,80,85,95,60,1,False,30,3630,2090
84,Doduo,Normal,Vol,310,35,85,45,35,35,75,1,False,40,2750,1650
38,Feunard,Feu,,505,73,76,75,81,100,100,1,False,25,1100,2860
124,Lippoutou,Glace,Psy,455,65,50,35,115,95,95,1,False,40,1650,3410
22,Rapasdepic,Normal,Vol,442,65,90,65,61,61,100,1,False,70,3850,1870
16,Roucool,Normal,Vol,251,40,45,40,35,35,56,1,False,100,1870,990
131,Lokhlass,Eau,Glace,535,130,85,80,85,95,60,1,False,30,440,550
107,Tygnon,Combat,,455,50,105,79,35,110,76,1,False,70,2420,1320
117,Hypocéan,Eau,,440,55,65,95,95,45,85,1,False,55,1540,990
18,Roucarnage,Normal,Vol,479,83,80,75,70,70,101,1,False,60,2530,1320
130,Léviator,Eau,Vol,540,95,125,79,60,100,81,1,False,20,550,440
89,Grotadmorv,Poison,,500,105,105,75,65,100,50,1,False,40,4510,1980
140,Kabuto,Roche,Eau,355,30,80,90,55,45,55,1,False,40,2860,3190
7,Carapuce,Eau,,314,44,48,65,50,64,43,1,False,70,2310,1100
91,Crustabri,Eau,Glace,525,50,95,180,85,45,70,1,False,60,2310,2860
48,Mimitoss,Insecte,Poison,305,60,55,50,40,55,45,1,False,60,2310,2750
50,Taupiqueur,Sol,,265,10,55,25,35,45,95,1,False,70,3850,990
17,Roucoups,Normal,Vol,349,63,60,55,50,50,71,1,False,80,1100,3520
13,Aspicot,Insecte,Poison,195,40,35,30,20,20,50,1,False,100,1650,4180
96,Soporifik,Psy,,328,60,48,45,43,90,42,1,False,30,3520,660
41,Nosferapti,Poison,Vol,245,40,45,35,30,40,55,1,False,60,3080,4180
72,Tentacool,Eau,Poison,335,40,40,35,50,100,70,1,False,60,2860,3960
84,Doduo,Normal,Vol,310,35,85,45,35,35,75,1,False,40,1540,3410
110,Smogogo,Poison,,490,65,90,120,85,70,60,1,False,30,3190,3960
13,Aspicot,Insecte,Poison,195,40,35,30,20,20,50,1,False,100,3080,1650
149,Dracolosse,Dragon,Vol,600,91,134,95,100,100,80,1,False,10,3300,3630
72,Tentacool,Eau,Poison,335,40,40,35,50,100,70,1,False,60,1650,1430
66,Machoc,Combat,,305,70,80,50,35,35,35,1,False,30,2640,1430
61,Têtarte,Eau,,385,65,65,65,50,50,90,1,False,65,1980,4510
115,Kangourex,Normal,,490,105,95,80,40,80,90,1,False,50,2090,2970
126,Magmar,Feu,,495,65,95,57,100,85,93,1,False,20,2860,1320
55,Akwakwak,Eau,,500,80,82,78,95,80,85,1,False,30,3520,1540
115,Kangourex,Normal,,490,105,95,80,40,80,90,1,False,50,1540,660
16,Roucool,Normal,Vol,251,40,45,40,35,35,56,1,False,100,1430,2530
129,Magicarpe,Eau,,200,20,10,55,15,20,80,1,False,80,1210,440
44,Ortide,Plante,Poison,395,60,65,70,85,75,40,1,False,90,4180,1650
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,50,4290,1320
107,Tygnon,Combat,,455,50,105,79,35,110,76,1,False,70,2200,2530
102,Noeunoeuf,Plante,Psy,325,60,40,80,60,45,40,1,False,60,4290,3080
140,Kabuto,Roche,Eau,355,30,80,90,55,45,55,1,False,40,3960,2860
140,Kabuto,Roche,Eau,355,30,80,90,55,45,55,1,False,40,1320,3960
77,Ponyta,Feu,,410,50,85,55,65,65,90,1,False,50,3960,2750
21,Piafabec,Normal,Vol,262,40,60,30,31,31,70,1,False,60,1650,2200
124,Lippoutou,Glace,Psy,455,65,50,35,115,95,95,1,False,40,660,1650
5,Reptincel,Feu,,405,58,64,58,80,65,80,1,False,50,3410,550
21,Piafabec,Normal,Vol,262,40,60,30,31,31,70,1,False,60,880,1320
60,Ptitard,Eau,,300,40,50,40,40,40,90,1,False,75,440,1100
6,Dracaufeu,Feu,Vol,534,78,84,78,109,85,100,1,False,20,1430,1430
41,Nosferapti,Poison,Vol,245,40,45,35,30,40,55,1,False,60,2750,3850
40,Grodoudou,Normal,Fee,435,140,70,45,85,50,45,1,False,25,1760,3410
14,Coconfort,Insecte,Poison,205,45,25,50,25,25,35,1,False,60,550,990
90,Kokiyas,Eau,,305,30,65,100,45,25,40,1,False,65,1430,3300
136,Pyroli,Feu,,525,65,130,60,95,110,65,1,False,50,4290,2090
103,Noadkoko,Plante,Psy,520,95,95,85,125,65,55,1,False,40,2310,3190
115,Kangourex,Normal,,490,105,95,80,40,80,90,1,False,50,2750,1100
92,Fantominus,Tenebres,Poison,310,30,35,30,100,35,80,1,False,45,660,2530
121,Staross,Eau,Psy,520,60,75,85,100,85,115,1,False,40,3850,1320
100,Voltorbe,Electrik,,330,40,30,50,55,55,100,1,False,60,4070,3300
16,Roucool,Normal,Vol,251,40,45,40,35,35,56,1,False,100,990,4290
2,Herbizarre,Plante,Poison,405,60,62,63,80,80,60,1,False,50,880,1980
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,50,2420,2530
113,Leveinard,Normal,,450,250,5,5,35,105,50,1,False,60,3520,2970
27,Sabelette,Sol,,300,50,75,85,20,30,40,1,False,60,1870,4180
23,Abo,Poison,,288,35,60,44,40,54,55,1,False,70,2860,4510
40,Grodoudou,Normal,Fee,435,140,70,45,85,50,45,1,False,25,440,3630
93,Spectrum,Tenebres,Poison,405,45,50,45,115,55,95,1,False,80,4180,3190
18,Roucarnage,Normal,Vol,479,83,80,75,70,70,101,1,False,60,3960,880
122,Mr.Mime,Psy,Fee,460,40,45,65,100,120,90,1,False,50,2420,4290
5,Reptincel,Feu,,405,58,64,58,80,65,80,1,False,50,550,3410
107,Tygnon,Combat,,455,50,105,79,35,110,76,1,False,70,2310,3960
38,Feunard,Feu,,505,73,76,75,81,100,100,1,False,25,660,1540
84,Doduo,Normal,Vol,310,35,85,45,35,35,75,1,False,40,3630,2310
93,Spectrum,Tenebres,Poison,405,45,50,45,115,55,95,1,False,80,990,3410
64,Kadabra,Psy,,400,40,35,30,120,70,105,1,False,40,3960,4290
20,Rattatac,Normal,,413,55,81,60,50,70,97,1,False,80,3740,2310
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,30,990,3300
2,Herbizarre,Plante,Poison,405,60,62,63,80,80,60,1,False,50,1650,3630
4,Salamèche,Feu,,309,39,52,43,60,50,65,1,False,70,440,770
11,Chrysacier,Insecte,,205,50,20,55,25,25,30,1,False,90,2420,3410
14,Coconfort,Insecte,Poison,205,45,25,50,25,25,35,1,False,60,1210,990
7,Carapuce,Eau,,314,44,48,65,50,64,43,1,False,70,4290,1760
26,Raichu,Electrik,,485,60,90,55,90,80,110,1,False,40,2310,1210
40,Grodoudou,Normal,Fee,435,140,70,45,85,50,45,1,False,25,2970,1100
87,Lamantine,Eau,Glace,475,90,70,80,70,95,70,1,False,45,2090,770
102,Noeunoeuf,Plante,Psy,325,60,40,80,60,45,40,1,False,60,4070,1540
104,Osselait,Sol,,320,50,50,95,40,50,35,1,False,60,3850,1210
78,Galopa,Feu,,500,65,100,70,80,80,105,1,False,40,770,1870
63,Abra,Psy,,310,25,20,15,105,55,90,1,False,50,3740,3080
51,Triopikeur,Sol,,405,35,80,50,50,70,120,1,False,45,2530,660
